requirement_id,requirement_title,charter_source,charter_locator,story_id,epic_id,verification
"FR01","Demonstration sign-in","C01","§2 / Accounts and access","US01","E01","Credential and sign-out scenarios in US01."
"FR01","Demonstration sign-in","G03","§5 / Correct access boundaries","US01","E01","Credential and sign-out scenarios in US01."
"FR02","Manage demonstration accounts","C01","§2 / Accounts and access","US02","E01","US02 account/role cases, including an already signed-in disabled user."
"FR02","Manage demonstration accounts","G03","§5 / Correct access boundaries","US02","E01","US02 account/role cases, including an already signed-in disabled user."
"FR03","Enforce the role matrix","C01","§2 / Accounts and access","US03","E01","Positive and negative matrix cases; cross-requester and direct-ID probes."
"FR03","Enforce the role matrix","G03","§5 / Correct access boundaries","US03","E01","Positive and negative matrix cases; cross-requester and direct-ID probes."
"FR04","Create a support ticket","C02","§2 / Ticket intake","US04","E02","US04 valid creation, duplicate-title distinction, forged-requester rejection."
"FR04","Create a support ticket","C03","§2 / Triage and ownership","US04","E02","US04 valid creation, duplicate-title distinction, forged-requester rejection."
"FR05","View own ticket progress","C02","§2 / Ticket intake","US05","E02","US05 visibility and status after resolution/reopening."
"FR05","View own ticket progress","C07","§2 / Communication and history","US05","E02","US05 visibility and status after resolution/reopening."
"FR05","View own ticket progress","G01","§5 / Complete support workflow","US05","E02","US05 visibility and status after resolution/reopening."
"FR05","View own ticket progress","G03","§5 / Correct access boundaries","US05","E02","US05 visibility and status after resolution/reopening."
"FR06","Triage and prioritize","C03","§2 / Triage and ownership","US06","E02","US06 four priorities, invalid value, missing priority, history."
"FR06","Triage and prioritize","C04","§2 / Ticket lifecycle","US06","E02","US06 four priorities, invalid value, missing priority, history."
"FR07","Assign one current ticket owner","C03","§2 / Triage and ownership","US07","E03","US07 reassign, wrong-role assignee, and disable-owner guard."
"FR07","Assign one current ticket owner","G04","§5 / Consistent data and lifecycle","US07","E03","US07 reassign, wrong-role assignee, and disable-owner guard."
"FR08","Enforce ticket lifecycle","C04","§2 / Ticket lifecycle","US08","E03","Every allowed edge and a rejected edge for each state in US08."
"FR08","Enforce ticket lifecycle","G01","§5 / Complete support workflow","US08","E03","Every allowed edge and a rejected edge for each state in US08."
"FR08","Enforce ticket lifecycle","G04","§5 / Consistent data and lifecycle","US08","E03","Every allowed edge and a rejected edge for each state in US08."
"FR09","Resolve, close, and reopen","C04","§2 / Ticket lifecycle","US09","E03","US09 note/reason validation, direct resolution, closure, two reopening routes."
"FR09","Resolve, close, and reopen","G01","§5 / Complete support workflow","US09","E03","US09 note/reason validation, direct resolution, closure, two reopening routes."
"FR10","Public ticket conversation","C07","§2 / Communication and history","US10","E03","Public comment round-trip, invalid text, closed-ticket rejection."
"FR10","Public ticket conversation","G01","§5 / Complete support workflow","US10","E03","Public comment round-trip, invalid text, closed-ticket rejection."
"FR11","Staff-only technical notes","C07","§2 / Communication and history","US10","E03","Public/private paired records and unlinked-developer access checks."
"FR11","Staff-only technical notes","C07","§2 / Communication and history","US03","E01","Public/private paired records and unlinked-developer access checks."
"FR11","Staff-only technical notes","C01","§2 / Accounts and access","US10","E03","Public/private paired records and unlinked-developer access checks."
